t_0_to_1_from_<100>_to_<111>,E_GPa,delta_mid_mm
0.0,130.13196864111498,1.921126703995877
0.01,130.14291594835083,1.9209651034653032
0.02,130.17575593006396,1.9204804935744781
0.03,130.2304827464733,1.919673449162348
0.04,130.3070865986102,1.9185449274150717
0.05,130.40555362929214,1.9170962665492197
0.06,130.52586578443635,1.9153291839709023
0.07,130.66800063466712,1.9132457739134738
0.08,130.83193115716443,1.9108485045572143
0.09,131.01762547769903,1.9081402146351176
0.1,131.22504657280192,1.90512410952968
0.11,131.45415193202655,1.9018037568662889
0.12,131.70489318028004,1.8981830816095457
0.13,131.97721566022557,1.8942663606695818
0.14,132.2710579747965,1.890058217026102
0.15,132.58635148990854,1.8855636133786224
0.16,132.92301979751957,1.8807878453320033
0.17,133.28097813925788,1.8757365341270897
0.18,133.66013279093121,1.8704156189268908
0.19,134.06038040833155,1.864831348669387
0.2,134.4816073348752,1.8589902734986672
0.21,134.92368887175644,1.8528992357867007
0.22,135.38648851145436,1.8465653607586459
0.23,135.86985713561387,1.8399960467351566
0.24,136.37363217852405,1.8331989550056857
0.25,136.89763675764374,1.826181999347342
0.26,137.4416787728727,1.8189533352043377
0.27,138.00554997654191,1.8115213485435537
0.28,138.58902501639477,1.8038946444022217
0.29,139.19186045415552,1.7960820351441489
0.3,139.81379376263138,1.7880925284413431
0.31,140.45454230467047,1.7799353149982597
0.32,141.11380229769765,1.7716197560362879
0.33,141.7912477679751,1.7631553705564111
0.34,142.486529499182,1.7545518223983079
0.35000000000000003,143.19927398037672,1.7458189071144228
0.36,143.92908235889146,1.7369665386778301
0.37,144.67552940421524,1.7280047360429154
0.38,145.43816248943523,1.7189436095781274
0.39,146.21650059733463,1.7097933473902143
0.4,147.01003335877294,1.7005642015595195
0.41000000000000003,147.81822013150304,1.6912664743060317
0.42,148.6404891281002,1.681910504105964
0.43,149.4762366021827,1.6725066517787182
0.44,150.3248261025877,1.66306528656411
0.45,151.18558780561568,1.6535967722097515
0.46,152.05781793586934,1.644111453088443
0.47000000000000003,152.94077828657157,1.6346196403654
0.48,153.8336958505451,1.625131598235044
0.49,154.7357625732629,1.6156575302469738
0.5,155.6461352395177,1.6062075657406134
0.51,156.56393550530387,1.5967917464078494
0.52,157.48825008643888,1.587420013002781
0.53,158.4181311152657,1.5781021922174991
0.54,159.35259667645946,1.5688479837425302
0.55,160.2906315324969,1.559666947530341
0.56,161.23118804873275,1.5505684912799662
0.5700000000000001,162.17318732724445,1.5415618581605137
0.58,163.11552055765722,1.5326561147909363
0.59,164.05705059203413,1.5238601394930777
0.6,164.99661374960786,1.515182610834607
0.61,165.93302185564497,1.5066319964780126
0.62,166.86506451706646,1.4982165423513845
0.63,167.79151163561062,1.4899442621562398
0.64,168.71111615732187,1.4818229272271362
0.65,169.62261705499557,1.4738600567573148
0.66,170.52474253791996,1.4660629084040808
0.67,171.41621348085704,1.458438469287031
0.68,172.29574706170837,1.45099344739172
0.6900000000000001,173.1620605947642,1.4437342633907138
0.7000000000000001,174.01387554385005,1.4366670428933819
0.71,174.8499216971117,1.4297976091351583
0.72,175.66894148264993,1.4231314761163485
0.73,176.4696944017733,1.4166738421998868
0.74,177.2509615543199,1.410429584176815
0.75,178.01155022835562,1.4044032518075185
0.76,178.75029852462455,1.3985990628460974
0.77,179.4660799844523,1.3930208985545252
0.78,180.15780818842447,1.387672299712531
0.79,180.82444129211515,1.3825564631284237
0.8,181.46498646446076,1.3776762386553376
0.81,182.0785041940875,1.3730341267166348
0.8200000000000001,182.6641124290272,1.3686322763434757
0.8300000000000001,183.2209905158173,1.364472483726791
0.84,183.74838290497433,1.3605561912851654
0.85,184.24560259126594,1.3568844872493642
0.86,184.71203425906594,1.3534581057635102
0.87,185.14713710535398,1.350277427502122
0.88,185.55044731557606,1.3473424808015204
0.89,185.9215801705989,1.3446529433033203
0.9,186.2602317663114,1.3422081441069975
0.91,186.56618033101614,1.340007066427774
0.92,186.83928712955327,1.3380483507553282
0.93,187.07949694705152,1.336330298508108
0.9400000000000001,187.2868381492483,1.334850876177299
0.9500000000000001,187.461422320397,1.3336077199537946
0.96,187.60344348382324,1.3325981408308059
0.97,187.7131769141418,1.331819130174051
0.98,187.79097755393843,1.331267365750804
0.99,187.83727805130704,1.3309392182083977
1.0,187.85258643795234,1.3308307579921184
